Title,Thumbsup,Name,Comment
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2400,Kenza B.,"He touched something really deep, first he ddnt go the usual route of saying its her choice, because at this point we have been saying it for decades and they just dont want to listen. Its just the western world dont realise that they have a culture too, they just assume its reality and the status quo. And that everything else revolves around it and its crazy. Your culture can and does seem weird to outsiders, and thats okay. Just like our culture can and does seem weird to you. But we make the effort of understanding your culture and respecting it. You just go into let's assimilate them to our culture mode."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1500,LMivha,How this man got his point across is absolute genius. Well done akhi.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1200,Marissa Urias,"Wow, people in the comments really don't get that a lot of women CHOOSE to wear hijabs. Like, yes, there are countries where they're not given a choice (and we can talk about how western imperialism caused it), but from what I've seen, most hijabis choose to wear them the same way I choose to wear heels on a night out."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,909,Riaz Uddin,"This is what I tell people all the time, just because you can't understand it, doesn't mean it's wrong"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,837,Shannon dobbs,They don't ask NUNS THAT! 🙄
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,139,sonia khan,The patriarchy in the west wants women to look sexy. Patriarchy in the Muslim world keep the women covered by force when in actuality there is no force in Islam. If you really care about women you should consider asking a woman if she is free to wear what she pleases. It pleases me to follow God’s commandments so I wear the Hijab. If a girl wants to wear a short dress that’s her choice no need to slut-shame. Live and let live people.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,199,Mansour D,his low key attitude to everything is hilarious
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,662,Oh Oh,What western don’t understand is in the Middle East some people cover there head from the hot sun. You will see men putting scarf on their head.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,37,Bruklyn A,"Muslim woman here...born into Islam & I proudly wear hijab. No one made/makes me wear it. Many Muslims born in America actually have the opposite issue, especially those who attend college. Literally had to fight my parents (right after 9/11) to wear it in middle school. They were afraid of bullying & rightfully so. The struggle however, made me a stronger and more proud Muslim. I have family overseas whose daughters don't wear hijab until they're teens. Ppl really have no clue of what it means & that MOST Muslim ladies wear completely by choice."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,289,Al Faiaz,i would suggest you people not going down the comment section. Have a good day!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,379,Chi Eg,"This is genius.  If anyone actually thinks that we have a choice in what we wear in western culture, try being a male partner in a major law firm or a male trader on Wall Street and coming to work in a little black dress and heels.  All cultures are oppressive to some degree.  We choose to be part of a culture and we hold to that culture's rules."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,75,Ahmed Khaled,"This approach or perspective Ramy gave is so clever, he didn't bother explaining the whole concept behind how women wear in the middle east (specially Muslim women) but he just clarified that seeing different culture will always raise different questions"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,162,Sa'eed Abubakar,"Ramy you are a genius, thank you very, this is the most rational comedy no one can construct this. God bless"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,49,Ahmar Saeed,"The cinematography is brilliant. Perfectly matches his unique style of delivery.
Also, the bright lighting over the audience making them visible and a part of the show made this even better.

I'd pay for this!"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,61,Nazirah Kidal,"""Lets just move on with this thing"" ... 👏🏻👏🏻👏🏻"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,10,toyebah357,"At the of the day, in most if cultures, only woman get criticized by the way she dressed."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,110,umarzilla,This guy is hilarious!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,50,Adeel Ansari,Hahaha. Im such a fan of this guy's delivery. Boy's supertalented.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,24,Kempire Radio,I love that he did this his standup special in this forum.  I didn't even realize it was a stand-up show until I clicked. Ramy is one of my new fav comedians.  He is naturally funny!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,21,Mon A,I just discovered Rami Youssef's talented stand up shows and I'm sooo impressed! Finally something we can relate to 100%
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,72,hey girl,"wait this actually made my day. 

how many people reading this are muslim american? 🙋"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,23,PizzaFan,That was a straight up legit dissection. Different and insightful.
