,comedian,comedianLabel,citizenshipLabel,ethnic_groupLabel,spouseLabel,children_number,birthdate,genderLabel
0,http://www.wikidata.org/entity/Q374065,Patton Oswalt,United States of America,,Meredith Salenger,1,1969-01-27T00:00:00Z,male
0,http://www.wikidata.org/entity/Q65029416,Ramy Youssef,United States of America,,,,1991-03-26T00:00:00Z,male
0,http://www.wikidata.org/entity/Q44473,O. J. Simpson,United States of America,African Americans,Nicole Brown Simpson,,1947-07-09T00:00:00Z,male
0,http://www.wikidata.org/entity/Q100159414,Q100159414,Israel,,,,1978-12-13T00:00:00Z,male
1,http://www.wikidata.org/entity/Q100276518,Q100276518,,,,,1984-03-16T00:00:00Z,male
2,http://www.wikidata.org/entity/Q100324364,Q100324364,,,,,1993-06-17T00:00:00Z,male
3,http://www.wikidata.org/entity/Q100454098,Q100454098,Japan,,,,,
4,http://www.wikidata.org/entity/Q100454423,Q100454423,Japan,,,,,male
5,http://www.wikidata.org/entity/Q100573746,Q100573746,Spain,,,,1962-06-01T00:00:00Z,transgender female
6,http://www.wikidata.org/entity/Q100667331,Q100667331,,,,,1970-01-01T00:00:00Z,male
7,http://www.wikidata.org/entity/Q100795420,Q100795420,Peru,,,,1942-03-20T00:00:00Z,male
8,http://www.wikidata.org/entity/Q100900470,Q100900470,,,,,1990-01-01T00:00:00Z,male
9,http://www.wikidata.org/entity/Q100998596,Q100998596,Kingdom of the Netherlands,,,,1989-01-01T00:00:00Z,female
10,http://www.wikidata.org/entity/Q10834885,Q10834885,Vietnam,,,,1976-08-21T00:00:00Z,male
11,http://www.wikidata.org/entity/Q11201315,Q11201315,Japan,,,,1968-01-05T00:00:00Z,
12,http://www.wikidata.org/entity/Q11226797,Q11226797,Japan,,,,1981-04-22T00:00:00Z,male
13,http://www.wikidata.org/entity/Q11233794,Q11233794,Japan,,,,1942-05-28T00:00:00Z,male
14,http://www.wikidata.org/entity/Q11238849,Q11238849,Japan,,,,1986-12-25T00:00:00Z,
15,http://www.wikidata.org/entity/Q11251003,Q11251003,Japan,,,,1968-04-03T00:00:00Z,
16,http://www.wikidata.org/entity/Q11256214,Q11256214,Japan,,,,1987-10-10T00:00:00Z,female
17,http://www.wikidata.org/entity/Q11261182,Q11261182,Japan,,,,1986-07-27T00:00:00Z,
18,http://www.wikidata.org/entity/Q11261392,Q11261392,Japan,,,,1984-06-27T00:00:00Z,
19,http://www.wikidata.org/entity/Q11265246,Q11265246,Japan,,,,1976-09-18T00:00:00Z,female
20,http://www.wikidata.org/entity/Q11265799,Q11265799,Japan,,,,1971-12-13T00:00:00Z,
21,http://www.wikidata.org/entity/Q11266099,Q11266099,Japan,,,,1969-05-22T00:00:00Z,male
22,http://www.wikidata.org/entity/Q11266112,Q11266112,Japan,,,,,
23,http://www.wikidata.org/entity/Q11267001,Q11267001,Japan,,,,1977-12-30T00:00:00Z,
24,http://www.wikidata.org/entity/Q11270222,Q11270222,,,,,1964-03-05T00:00:00Z,male
25,http://www.wikidata.org/entity/Q11270585,Q11270585,Japan,,,,1985-03-07T00:00:00Z,male
26,http://www.wikidata.org/entity/Q11270714,Q11270714,Japan,,,,1974-10-27T00:00:00Z,male
27,http://www.wikidata.org/entity/Q11270761,Q11270761,Japan,,,,1982-04-27T00:00:00Z,male
28,http://www.wikidata.org/entity/Q11270832,Q11270832,Japan,,,,1975-12-08T00:00:00Z,
29,http://www.wikidata.org/entity/Q11270946,Q11270946,Japan,,,,1986-01-17T00:00:00Z,male
30,http://www.wikidata.org/entity/Q11271909,Q11271909,Japan,,,,1986-06-06T00:00:00Z,
31,http://www.wikidata.org/entity/Q11272818,Q11272818,Japan,,,,1976-02-12T00:00:00Z,male
32,http://www.wikidata.org/entity/Q11273199,Q11273199,,,,,1944-01-01T00:00:00Z,female
33,http://www.wikidata.org/entity/Q11274105,Q11274105,Japan,,,,1978-09-17T00:00:00Z,male
34,http://www.wikidata.org/entity/Q11275333,Q11275333,Japan,,,,1975-08-26T00:00:00Z,male
35,http://www.wikidata.org/entity/Q11275831,Q11275831,Japan,,,,1989-11-07T00:00:00Z,female
36,http://www.wikidata.org/entity/Q11276468,Q11276468,,,,,1948-10-09T00:00:00Z,male
